0,42.08682,-75.96829
1,42.08683,-75.9671
2,42.0869,-75.96643
3,42.08702,-75.96569
4,42.08708,-75.96543
5,42.0868,-75.96524
6,42.08651,-75.96533
7,42.08616,-75.96535
8,42.08607,-75.96556
9,42.08566,-75.96543
10,42.0853,-75.96523
11,42.08515,-75.96512
12,42.08515,-75.96486
13,42.08524,-75.96481
14,42.08585,-75.96514
15,42.08645,-75.96522
16,42.0868,-75.96513
17,42.08711,-75.96527
18,42.08749,-75.96421
19,42.08796,-75.96343
20,42.08823,-75.96304
21,42.08852,-75.96286
22,42.08891,-75.96283
23,42.08941,-75.96312
24,42.08963,-75.96365
25,42.08971,-75.96403
26,42.08976,-75.96468
27,42.08967,-75.96586
28,42.09026,-75.9664
29,42.09082,-75.96726
30,42.09124,-75.96771
31,42.09151,-75.96788
32,42.0921,-75.96807
33,42.09219,-75.96825
34,42.0922,-75.96847
35,42.09185,-75.96917
36,42.09171,-75.96954
37,42.0916,-75.97007
38,42.09162,-75.9704
39,42.09171,-75.97089
40,42.09167,-75.97117
41,42.09171,-75.97172
42,42.09178,-75.9722
43,42.09187,-75.97266
44,42.09189,-75.97288
45,42.09187,-75.97311
46,42.09184,-75.97332
47,42.09154,-75.97396
48,42.09142,-75.97406
49,42.0912,-75.97384
50,42.09074,-75.97327
51,42.09049,-75.97283
52,42.09042,-75.97282
53,42.08999,-75.97307
54,42.0897,-75.97315
55,42.0895,-75.97319
56,42.08919,-75.97319
57,42.08914,-75.97325
58,42.0891,-75.97336
59,42.08904,-75.97468
60,42.0878,-75.9746
61,42.08636,-75.97436
62,42.08455,-75.974
63,42.08456,-75.97429
64,42.08468,-75.9749
65,42.08493,-75.9755
66,42.08524,-75.97598
67,42.08585,-75.97664
68,42.08641,-75.9772
69,42.08663,-75.97749
70,42.08696,-75.9775
71,42.0871,-75.97835
72,42.08687,-75.97836
73,42.08669,-75.97773
74,42.08647,-75.97737
75,42.08518,-75.97604
76,42.08495,-75.97567
77,42.08476,-75.97527
78,42.08462,-75.97491
79,42.08453,-75.97456
80,42.08449,-75.97411
81,42.0845,-75.97376
82,42.08458,-75.97329
83,42.08469,-75.97292
84,42.08492,-75.97249
85,42.08493,-75.9723
86,42.08405,-75.97097
87,42.08378,-75.97053
88,42.08348,-75.96995
89,42.08325,-75.96944
90,42.08376,-75.96904
91,42.08401,-75.96962
92,42.08397,-75.97043
93,42.08391,-75.97057
94,42.08421,-75.97108
95,42.08514,-75.97246
96,42.08556,-75.9729
97,42.08597,-75.9732
98,42.08662,-75.97359
99,42.08711,-75.97379
100,42.08747,-75.97383
101,42.08796,-75.97373
102,42.08821,-75.97357
103,42.08831,-75.97322
104,42.08827,-75.97289
105,42.08802,-75.9726
106,42.08768,-75.97202
107,42.0874,-75.97128
108,42.0871,-75.97026
109,42.0869,-75.9691
110,42.08681,-75.96832
111,42.08682,-75.96829
112,42.08678,-75.9683
